,충전소명,충전소ID,충전기ID,충전기타입,주소,상세위치,이용가능시간,lat,long,기관 아이디,기관명,운영기관명,운영기관연락처,충전기상태,상태갱신일시,마지막 충전시작일시,마지막 충전종료일시,충전중 시작일시,,충전용량,충전방식,지역코드,지역구분 상세 코드,충전소 구분 코드,충전소 구분 상세코드,주차료무료,충전소 안내,이용자 제한,이용제한 사유,삭제 여부,삭제 사유
6958,운학동예비군훈련장,ME21C408,23,4,경기도 용인시 처인구 묵동로 73-1,,24시간 이용가능,37.2146582,127.2382608,ME,환경부,환경부,1661-9408,2,20220921164309.0,20220921161422.0,20220921164309.0,,,200.0,동시,41,41460.0,B0,B004,Y,,N,,N,
6959,운학동예비군훈련장,ME21C408,24,4,경기도 용인시 처인구 묵동로 73-1,,24시간 이용가능,37.2146582,127.2382608,ME,환경부,환경부,1661-9408,2,20220921143104.0,20220921135844.0,20220921143104.0,,,200.0,동시,41,41460.0,B0,B004,Y,,N,,N,
7559,에스지스크린골프,CSSGS001,1,2,경기도 용인시 기흥구 동백죽전대로175번길 13,주차장,24시간 이용가능,37.257835,127.160884,CS,한국EV충전서비스센터,한국EV충전서비스센터,1600-2213,9,,,,,,14.0,동시,41,41460.0,E0,E004,Y,,N,,N,
7832,용인스테이타워,CU310006,1,2,경기도 용인시 기흥구 중부대로 382,상가내 지상1층 우측 경비실 옆,09:00~18:00,37.2716518,127.109405,CU,씨어스,씨어스,1522-2640,9,20220401165810.0,,,,,7.0,단독,41,41460.0,G0,G004,N,,N,,N,
7879,죽전누리에뜰,CU310022,1,2,경기도 용인시 기흥구 죽전로 20,,24시간 이용가능,37.3200176,127.111144,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7880,죽전누리에뜰,CU310022,2,2,경기도 용인시 기흥구 죽전로 20,,24시간 이용가능,37.3200176,127.111144,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7881,죽전누리에뜰,CU310022,3,2,경기도 용인시 기흥구 죽전로 20,,24시간 이용가능,37.3200176,127.111144,CU,씨어스,씨어스,1522-2640,9,20220920114310.0,20220920110545.0,20220920110825.0,20220920110545.0,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7882,죽전누리에뜰,CU310022,4,2,경기도 용인시 기흥구 죽전로 20,,24시간 이용가능,37.3200176,127.111144,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7905,동백중앙프라자상가,CU310026,1,2,경기도 용인시 기흥구 동백7로 83,,24시간 이용가능,37.2816769,127.160365,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,G0,G004,N,,N,,N,
7906,동백중앙프라자상가,CU310026,2,2,경기도 용인시 기흥구 동백7로 83,,24시간 이용가능,37.2816769,127.160365,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,G0,G004,N,,N,,N,
7907,동백중앙프라자상가,CU310026,3,2,경기도 용인시 기흥구 동백7로 83,,24시간 이용가능,37.2816769,127.160365,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,G0,G004,N,,N,,N,
7908,동백중앙프라자상가,CU310026,4,2,경기도 용인시 기흥구 동백7로 83,,24시간 이용가능,37.2816769,127.160365,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,G0,G004,N,,N,,N,
7909,동백중앙프라자상가,CU310026,5,2,경기도 용인시 기흥구 동백7로 83,,24시간 이용가능,37.2816769,127.160365,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,G0,G004,N,,N,,N,
7934,삼성래미안1차아파트,CU310030,1,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7935,삼성래미안1차아파트,CU310030,2,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7936,삼성래미안1차아파트,CU310030,3,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7937,삼성래미안1차아파트,CU310030,4,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7938,삼성래미안1차아파트,CU310030,5,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7939,삼성래미안1차아파트,CU310030,6,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7940,삼성래미안1차아파트,CU310030,7,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7941,삼성래미안1차아파트,CU310030,8,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7942,삼성래미안1차아파트,CU310030,9,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7943,삼성래미안1차아파트,CU310030,10,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7944,삼성래미안1차아파트,CU310030,11,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7945,삼성래미안1차아파트,CU310030,12,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7946,삼성래미안1차아파트,CU310030,13,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7947,삼성래미안1차아파트,CU310030,14,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7948,삼성래미안1차아파트,CU310030,15,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7949,삼성래미안1차아파트,CU310030,16,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7950,삼성래미안1차아파트,CU310030,17,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7951,삼성래미안1차아파트,CU310030,18,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7952,삼성래미안1차아파트,CU310030,19,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7953,삼성래미안1차아파트,CU310030,20,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7954,삼성래미안1차아파트,CU310030,21,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7955,삼성래미안1차아파트,CU310030,22,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7956,삼성래미안1차아파트,CU310030,23,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7957,삼성래미안1차아파트,CU310030,24,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7958,삼성래미안1차아파트,CU310030,25,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7959,삼성래미안1차아파트,CU310030,26,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7960,삼성래미안1차아파트,CU310030,27,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
7961,삼성래미안1차아파트,CU310030,28,2,경기도 용인시 기흥구 용구대로2394번길 27,,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,,,,,,7.0,단독,41,41460.0,H0,H001,N,,N,,N,
8850,강남앤플러스,CV000170,1,2,경기도 용인시 기흥구 강남로 3,,24시간 이용가능,37.2710262,127.1260965,CV,대영채비,대영채비,1522-2573,2,20220920193026.0,20220917001950.0,20220917005333.0,20220917001950.0,,,,41,41460.0,E0,E001,Y,,N,,N,
8851,강남앤플러스,CV000170,2,2,경기도 용인시 기흥구 강남로 3,,24시간 이용가능,37.2710262,127.1260965,CV,대영채비,대영채비,1522-2573,2,20220921022529.0,20220920214938.0,20220921022455.0,20220920214938.0,,,,41,41460.0,E0,E001,Y,,N,,N,
9360,광교산 한양수자인더킨포크,CV000436,1,2,경기도 용인시 수지구 태봉로 17,,24시간 이용가능,37.334572,127.057609,CV,대영채비,대영채비(주),1522-2573,3,20220921193519.0,20220920220311.0,20220920233648.0,20220921193228.0,,,,41,41460.0,H0,H001,Y,,N,,N,
9361,광교산 한양수자인더킨포크,CV000436,2,2,경기도 용인시 수지구 태봉로 17,,24시간 이용가능,37.334572,127.057609,CV,대영채비,대영채비(주),1522-2573,2,20220921110536.0,20220921091405.0,20220921105812.0,20220921091405.0,,,,41,41460.0,H0,H001,Y,,N,,N,
9362,광교산 한양수자인더킨포크,CV000436,3,2,경기도 용인시 수지구 태봉로 17,,24시간 이용가능,37.334572,127.057609,CV,대영채비,대영채비(주),1522-2573,2,20220921194519.0,20220921173958.0,20220921194040.0,20220921173958.0,,,,41,41460.0,H0,H001,Y,,N,,N,
9401,에버랜드 셔틀버스 주차장,CV000449,1,2,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20220920193028.0,20220909123109.0,20220909211000.0,20220909123109.0,,,,41,41460.0,J0,J005,Y,,N,,N,
9402,에버랜드 셔틀버스 주차장,CV000449,2,2,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20220920193028.0,20220823191112.0,20220824061514.0,20220823191112.0,,,,41,41460.0,J0,J005,Y,,N,,N,
9403,에버랜드 셔틀버스 주차장,CV000449,3,2,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20220920193028.0,20220806125521.0,20220806175016.0,20220806125521.0,,,,41,41460.0,J0,J005,Y,,N,,N,
9404,에버랜드 셔틀버스 주차장,CV000449,4,2,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20220920193028.0,20220920162508.0,20220920174008.0,20220909144653.0,,,,41,41460.0,J0,J005,Y,,N,,N,
9405,에버랜드 셔틀버스 주차장,CV000449,5,2,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20220920193028.0,20220919173447.0,20220919192210.0,20220823141513.0,,,,41,41460.0,J0,J005,Y,,N,,N,
9406,에버랜드 셔틀버스 주차장,CV000449,6,2,경기도 용인시 처인구 포곡읍 곡현로 76,셔틀버스 주차장,24시간 이용가능,37.2872343,127.2179551,CV,대영채비,대영채비,1522-2573,2,20220920193028.0,20220920072759.0,20220920113213.0,20220806091723.0,,,,41,41460.0,J0,J005,Y,,N,,N,
9407,에버랜드 홈브릿지 캐빈호스텔,CV000450,1,2,경기도 용인시 처인구 포곡읍 에버랜드로 199,홈브릿지 캐빈호스텔,24시간 이용가능,37.28929,127.1980408,CV,대영채비,대영채비,1522-2573,2,20220920193018.0,20220812093956.0,20220812164525.0,20220812093956.0,,,,41,41460.0,E0,E003,N,,N,,N,
9408,에버랜드 홈브릿지 캐빈호스텔,CV000450,2,2,경기도 용인시 처인구 포곡읍 에버랜드로 199,홈브릿지 캐빈호스텔,24시간 이용가능,37.28929,127.1980408,CV,대영채비,대영채비,1522-2573,2,20220920193018.0,20220920084727.0,20220920095245.0,20220812093500.0,,,,41,41460.0,E0,E003,N,,N,,N,
9464,한국국토정보공사 용인지사,CV000466,1,2,경기도 용인시 처인구 중부대로 1414,,09:00~18:00,37.232296,127.201209,CV,대영채비,대영채비㈜,1522-2573,2,20220920193021.0,20220920112820.0,20220920181130.0,20220920112820.0,,,,41,41460.0,A0,A003,Y,,N,,N,
